实例ID,是否在用,确认人,部门名称,项目名称,实例名,主机名,NAT_IP,私有IP,CPU,内存,创建时间,状态,描述,镜像ID
i-88w2n6ukr,可回收,叶永杰,开发一部验证,互联网金融核心系统验证,hjuat_user_1,iZ88w2n6ukrZ,10.100.21.213,10.100.245.59,4,8,2017-06-06 14:55:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88x4qibg2,可回收,叶永杰,开发一部验证,互联网金融核心系统验证,hjuat_acctjob_2,iZ88x4qibg2Z,10.100.20.189,10.100.245.96,4,8,2017-06-16 09:47:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88xl5y1xm,在用,叶永杰,开发一部验证,互联网金融核心系统验证,hjuat_oprserver_1,iZ88xl5y1xmZ,10.100.22.13,10.100.245.47,4,8,2017-06-06 14:33:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88ycuugo3,在用,叶永杰,开发一部验证,互联网金融核心系统验证,hjuat_redis_3,iZ88ycuugo3Z,10.100.20.74,10.100.245.103,4,8,2017-07-05 09:06:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88yp5cq4t,在用,叶永杰,开发一部验证,互联网金融核心系统验证,hjuat_iia_2,iZ88yp5cq4tZ,10.100.23.110,10.100.245.122,4,8,2017-11-09 11:16:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88yxz0me8,在用,叶永杰,开发一部验证,互联网金融核心系统验证,hjuat_sysgtw_1,iZ88yxz0me8Z,10.100.20.57,10.100.245.53,4,8,2017-06-06 14:44:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88z7xhkc6,可回收,叶永杰,开发一部验证,互联网金融核心系统验证,hjuat_prf_1,iZ88z7xhkc6Z,10.100.22.91,10.100.245.69,4,8,2017-06-06 15:25:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
i-88zxo0f0a,可回收,叶永杰,开发一部验证,互联网金融核心系统验证,hjuat_igtw_2,iZ88zxo0f0aZ,10.100.20.156,10.100.245.114,4,8,2017-11-09 11:07:00,Running,,centos6u5_64_40G_aliaegis_20160222.vhd
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
